Airport Code,AIRPORT,CITY,STATE,Zip Code,COUNTRY,LATITUDE,LONGITUDE
ABQ,Albuquerque International,Albuquerque,NM,87106,USA,35.04022222,-106.6091944
ANC,Ted Stevens Anchorage International,Anchorage,AK,99519,USA,61.17432028,-149.9961856
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,30320,USA,33.64044444,-84.42694444
AUS,Austin-Bergstrom International,Austin,TX,78719,USA,30.19453278,-97.66987194
BDL,Bradley International,Windsor Locks,CT,06096,USA,41.93887417,-72.68322833
BHM,Birmingham International,Birmingham,AL,35212,USA,33.56294306,-86.75354972
BNA,Nashville International,Nashville,TN,37214,USA,36.12447667,-86.67818222
BOS,Gen Edw L Logan Intl,Boston,MA,02128,USA,42.3643475,-71.00517917
BUF,Buffalo Niagara Intl,Buffalo,NY,14225,USA,42.94052472,-78.73216667
BUR,Burbank-Glendale-Pasadena,Burbank,CA,91505,USA,34.20061917,-118.3584969
BWI,Baltimore-Washington International,Baltimore,MD,21240,USA,39.17540167,-76.66819833
CHS,Charleston AFB International,Charleston,SC,29404,USA,32.89864639,-80.04050583
CLE,Cleveland-Hopkins Intl,Cleveland,OH,44135,USA,41.41089417,-81.84939667
CLT,Charlotte Douglas International,Charlotte,NC,28208,USA,35.21401111,-80.94312583
CMH,Port Columbus Intl,Columbus,OH,43219,USA,39.99798528,-82.89188278
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,41048,USA,39.04614278,-84.6621725
DAL,Dallas Love ,Dallas,TX,75235,USA,32.84711389,-96.85177222
DCA,Ronald Reagan Washington National,Arlington,VA,22202,USA,38.85208333,-77.03772222
DEN,Denver Intl,Denver,CO,80249,USA,39.85840806,-104.6670019
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,75261,USA,32.89595056,-97.0372
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,48242,USA,42.21205889,-83.34883583
ELP,El Paso International,El Paso,TX,79925,USA,31.80666667,-106.3778056
EWR,Newark Intl,Newark,NJ,07114,USA,40.69249722,-74.16866056
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,33315,USA,26.07258333,-80.15275
HNL,Honolulu International,Honolulu,HI,96819,USA,21.31869111,-157.9224072
HOU,William P X,Houston,TX,85004,USA,29.64541861,-95.27888889
IAD,Washington Dulles International,Chantilly,VA,20166,USA,38.94453194,-77.45580972
IAH,George Bush Intercontinental,Houston,TX,77032,USA,29.98047222,-95.33972222
IND,Indianapolis International,Indianapolis,IN,46241,USA,39.71732917,-86.29438417
JAX,Jacksonville International,Jacksonville,FL,32218,USA,30.49405556,-81.68786111
JFK,John F Kennedy Intl,New York,NY,11430,USA,40.63975111,-73.77892556
LAS,McCarran International,Las Vegas,NV,89119,USA,36.08036111,-115.1523333
LAX,Los Angeles International,Los Angeles,CA,90045,USA,33.94253611,-118.4080744
LGA,LaGuardia,New York,NY,11371,USA,40.77724306,-73.87260917
LIT,Adams ,Little Rock,AR,72202,USA,34.72939611,-92.22424556
MCI,Kansas City International,Kansas City,MO,64153,USA,39.29760528,-94.71390556
MCO,Orlando International,Orlando,FL,32827,USA,28.42888889,-81.31602778
MDW,Chicago Midway,Chicago,IL,60638,USA,41.7859825,-87.75242444
MEM,Memphis International,Memphis,TN,38116,USA,35.04241667,-89.97666667
MIA,Miami International,Miami,FL,33142,USA,25.79325,-80.29055556
MKE,General Mitchell International,Milwaukee,WI,53207,USA,42.94722222,-87.89658333
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,55111,USA,44.88054694,-93.2169225
MSY,New Orleans International ,New Orleans,LA,70062,USA,29.99338889,-90.25802778
OAK,Metropolitan Oakland International,Oakland,CA,94621,USA,37.72129083,-122.2207167
OGG,Kahului,Kahului,HI,96732,USA,20.89864972,-156.4304578
OKC,Will Rogers World,Oklahoma City,OK,73159,USA,35.39308833,-97.60073389
OMA,Eppley Airfield,Omaha,NE,68110,USA,41.30251861,-95.89417306
ONT,Ontario International,Ontario,CA,91761,USA,34.056,-117.6011944
ORD,Chicago O'Hare International,Chicago,IL,60666,USA,41.979595,-87.90446417
ORF,Norfolk International,Norfolk,VA,23518,USA,36.89461111,-76.20122222
PBI,Palm Beach International,West Palm Beach,FL,33406,USA,26.68316194,-80.09559417
PDX,Portland Intl,Portland,OR,97218,USA,45.58872222,-122.5975
PHL,Philadelphia Intl,Philadelphia,PA,19153,USA,39.87195278,-75.24114083
PHX,Phoenix Sky Harbor International,Phoenix,AZ,85034,USA,33.43416667,-112.0080556
